course_name,related_url,application_link,detail
Financial Planning and Sales Enhancement Series (2) 財務策劃與銷售提升系列 (2) *,N/A,N/A,"Provider: YF Life Insurance International Limited, Hours: nan"
Financial Planning and Sales Enhancement Series (3) 財務策劃與銷售提升系列 (3) *,N/A,N/A,"Provider: YF Life Insurance International Limited, Hours: nan"
Financial Planning and Sales Enhancement Series (4) 財務策劃與銷售提升系列 (4) *,N/A,N/A,"Provider: YF Life Insurance International Limited, Hours: nan"
Personal Financial Calculation Course 個人財務計算課程,N/A,N/A,"Provider: YF Life Insurance International Limited, Hours: Yes"
Investment Series - Diversified Factors Influencing Global Market Movement 投資系列 - 影響環球市場走勢的多元化因素,N/A,N/A,"Provider: YF Life Insurance International Limited, Hours: Yes"
Personal Financial Calculation Course 2 個人財務計算課程 2,N/A,N/A,"Provider: YF Life Insurance International Limited, Hours: Yes"
Personal Financial Calculation Course 3 - Asset Valuation 個人財務計算課程 3 - 資產估值,N/A,N/A,"Provider: YF Life Insurance International Limited, Hours: Yes"
Expanding the Customer Base in the Greater Bay Area-Using Mainland Social Media Platforms to Expand Mainland Customer Base 拓展灣區目標客群-運用内地社交媒體平臺拓展內地客源,N/A,N/A,"Provider: YF Life Insurance International Limited, Hours: Yes"
Business and Financial Planning Skills Boosting Series 營銷與理財系列 *,N/A,N/A,"Provider: YF Life Insurance International Limited, Hours: Yes"
Compliance and Regulatory for Insurance Intermediaries 中介人法規工作坊 *,N/A,N/A,"Provider: YF Life Insurance International Limited, Hours: Yes"
Insurance Knowledge and Compliance 保險知識及法規 *,N/A,N/A,"Provider: YF Life Insurance International Limited, Hours: nan"
Financial Planning and Sales Enhancement Series (5) 財務策劃與銷售提升系列（5） *,N/A,N/A,"Provider: YF Life Insurance International Limited, Hours: nan"
AIA Intermediaries Licensing Course – Paper 2: General Insurance 友邦中介人牌照課程 – 試卷二：一般保險,N/A,N/A,"Provider: AIA International Limited (Incorporated in Bermuda with limited liability), Hours: Yes"
Preparation Course for Mandatory Provident Fund Schemes Examination 強制性公積金計劃牌照預備班,N/A,N/A,"Provider: AIA International Limited (Incorporated in Bermuda with limited liability), Hours: Yes"
Preparation Course for Paper 5 - Investment-Linked Long Term Insurance Examination,N/A,N/A,"Provider: AIA International Limited (Incorporated in Bermuda with limited liability), Hours: Yes"
Professional Claims Series - Accident (Module 1 & 2) and Critical Illness (Module 3) *,N/A,N/A,"Provider: AIA International Limited (Incorporated in Bermuda with limited liability), Hours: Yes"
Professional Operations Training Course Series – M1 to M3 *,N/A,N/A,"Provider: AIA International Limited (Incorporated in Bermuda with limited liability), Hours: Yes"
Financial Planning Training Series - M1 to M4 *,N/A,N/A,"Provider: AIA International Limited (Incorporated in Bermuda with limited liability), Hours: Yes"
Policy Provision,N/A,N/A,"Provider: AIA International Limited (Incorporated in Bermuda with limited liability), Hours: Yes"
Insurance Concept and Policy Provision 保險概念及保單條款解碼 *,N/A,N/A,"Provider: AIA International Limited (Incorporated in Bermuda with limited liability), Hours: Yes"
iFinancial Health Check 全保理財分析,N/A,N/A,"Provider: AIA International Limited (Incorporated in Bermuda with limited liability), Hours: Yes"
Time Value of Money – Concept and Application 金錢的時間價值 - 概念及應用,N/A,N/A,"Provider: AIA International Limited (Incorporated in Bermuda with limited liability), Hours: nan"
Selling Cycle 銷售循環,N/A,N/A,"Provider: AIA International Limited (Incorporated in Bermuda with limited liability), Hours: nan"
CODE OF CONDUCT FOR LICENSED INSURANCE AGENTS GENERAL PRINCIPLEs 《持牌保險代理人操守守則》一般原則,N/A,N/A,"Provider: AIA International Limited (Incorporated in Bermuda with limited liability), Hours: nan"
"Best Practice on Data Privacy, Direct Marketing and Social Media 良好工作習慣: 保障個人資料、直接促銷及社群媒體的使用",N/A,N/A,"Provider: AIA International Limited (Incorporated in Bermuda with limited liability), Hours: nan"
Insurance Authority’s Regulations on Insurance Intermediaries 保險業監管局對保險中介人之監管要求,N/A,N/A,"Provider: AIA International Limited (Incorporated in Bermuda with limited liability), Hours: nan"
Quality Recruitment - The 5 Great Recruitment Directives 優質招募-5大方向招募,N/A,N/A,"Provider: AIA International Limited (Incorporated in Bermuda with limited liability), Hours: nan"
Regulatory Requirements of Guideline 26 on Sale of ILAS Products GL26 銷售投資相連壽險計劃產品指引(ILAS) 監管要求,N/A,N/A,"Provider: AIA International Limited (Incorporated in Bermuda with limited liability), Hours: nan"
GL25 - Guideline on Offering of Gifts 指引25 送贈禮品指引,N/A,N/A,"Provider: AIA International Limited (Incorporated in Bermuda with limited liability), Hours: nan"
Cold & Warm Calling Skills Workshop 拓展生意技巧工作坊 *,N/A,N/A,"Provider: AIA International Limited (Incorporated in Bermuda with limited liability), Hours: Yes"
GL27 – Guideline on Long Term Insurance Policy Replacement 指引27-長期保險保單轉保指引,N/A,N/A,"Provider: AIA International Limited (Incorporated in Bermuda with limited liability), Hours: nan"
Guideline 29 on Cooling-off Period & Guideline 31 on Medical Insurance Business 指引29-冷靜期指引及指引31-醫療保險業務指引,N/A,N/A,"Provider: AIA International Limited (Incorporated in Bermuda with limited liability), Hours: nan"
Professional Operations Training Course Series 營運專業培訓課程 *,N/A,N/A,"Provider: AIA International Limited (Incorporated in Bermuda with limited liability), Hours: nan"
The Roadshow Workshop 路演工作坊,N/A,N/A,"Provider: AIA International Limited (Incorporated in Bermuda with limited liability), Hours: No"
Guideline 30 on Financial Needs Analysis 指引30-財務需要分析指引,N/A,N/A,"Provider: AIA International Limited (Incorporated in Bermuda with limited liability), Hours: nan"
Roadshow Guideline and Requirements 路演指引及要求,N/A,N/A,"Provider: AIA International Limited (Incorporated in Bermuda with limited liability), Hours: nan"
ESG Investing - You Should Know ESG投資 - 您要知,N/A,N/A,"Provider: AIA International Limited (Incorporated in Bermuda with limited liability), Hours: nan"
Latest ILAS Guideline and PLP-You Should Know 最新投連險指引及PLP您要知,N/A,N/A,"Provider: AIA International Limited (Incorporated in Bermuda with limited liability), Hours: nan"
Do’s and Don’ts On Use of Social Media 使用社群媒體的「該做與不該做」,N/A,N/A,"Provider: AIA International Limited (Incorporated in Bermuda with limited liability), Hours: nan"
Professional Claims Series - Hospitalization,N/A,N/A,"Provider: AIA International Limited (Incorporated in Bermuda with limited liability), Hours: Yes"
Cyber Security Awareness 網絡安全意識,N/A,N/A,"Provider: AIA International Limited (Incorporated in Bermuda with limited liability), Hours: nan"
Agency Management Training Program *,N/A,N/A,"Provider: AIA International Limited (Incorporated in Bermuda with limited liability), Hours: Yes"
Overview and Category of Group Insurance Business 團體保險業務的簡介及類別,N/A,N/A,"Provider: AIA International Limited (Incorporated in Bermuda with limited liability), Hours: nan"
GL3: Guideline on Anti-Money Laundering and Counter-Terrorist Financing 《指引 3》:打擊洗錢及恐怖分子資金籌集指引,N/A,N/A,"Provider: AIA International Limited (Incorporated in Bermuda with limited liability), Hours: nan"
Post Sales Service – Regulatory Requirements on Policy Delivery 售後服務 – 遞送保單的監管要求,N/A,N/A,"Provider: AIA International Limited (Incorporated in Bermuda with limited liability), Hours: nan"
For the best interest of our clients – Customer Service Excellence 客戶最佳利益–卓越客戶服務,N/A,N/A,"Provider: AIA International Limited (Incorporated in Bermuda with limited liability), Hours: nan"
Mandatory Provident Fund Schemes Exam Paper Online Class 強制性公積金計劃線上試題研習班,N/A,N/A,"Provider: AIA International Limited (Incorporated in Bermuda with limited liability), Hours: nan"
Guidance Note on Conducting Sales by Unsolicited Calls 對強積金中介人之電話銷售指引,N/A,N/A,"Provider: AIA International Limited (Incorporated in Bermuda with limited liability), Hours: nan"
Investment-linked Long Term Insurance – question revision class 投資相連長期保險線上試題研習班,N/A,N/A,"Provider: AIA International Limited (Incorporated in Bermuda with limited liability), Hours: nan"
Proper Handling of Policy Assignment 正確處理保單分配及注意事項,N/A,N/A,"Provider: AIA International Limited (Incorporated in Bermuda with limited liability), Hours: nan"
General Insurance Exam Paper Online Class 一般保險線上試題研習班,N/A,N/A,"Provider: AIA International Limited (Incorporated in Bermuda with limited liability), Hours: nan"
Know more about bonus distribution 分紅知多少,N/A,N/A,"Provider: AIA International Limited (Incorporated in Bermuda with limited liability), Hours: nan"
Guidance on Gifts and Entertainment 餽贈及款待指引,N/A,N/A,"Provider: AIA International Limited (Incorporated in Bermuda with limited liability), Hours: nan"
Electronic Data Protection Responsibilities 電子資料保密責任,N/A,N/A,"Provider: AIA International Limited (Incorporated in Bermuda with limited liability), Hours: nan"
Elite Programme 卓越精英進階課程 *,N/A,N/A,"Provider: AIA International Limited (Incorporated in Bermuda with limited liability), Hours: Yes"
AI助你妥善安排招募活動,N/A,N/A,"Provider: AIA International Limited (Incorporated in Bermuda with limited liability), Hours: nan"
善用AI建立獨特個人品牌,N/A,N/A,"Provider: AIA International Limited (Incorporated in Bermuda with limited liability), Hours: nan"
領航掌握AI業務策略思維,N/A,N/A,"Provider: AIA International Limited (Incorporated in Bermuda with limited liability), Hours: nan"
Compliance Training for Responsible Officers of Brokers 持牌保險經紀公司負責人合規培訓,N/A,N/A,"Provider: AIA International Limited (Incorporated in Bermuda with limited liability), Hours: nan"
New Gen Recruitment & Leadership e世代招募 e世代管理 *,N/A,N/A,"Provider: AIA International Limited (Incorporated in Bermuda with limited liability), Hours: nan"
圍欄式處理異議,N/A,N/A,"Provider: AIA International Limited (Incorporated in Bermuda with limited liability), Hours: nan"
Hi-Po Leaders Start-up Workshop - A0.1,N/A,N/A,"Provider: AIA International Limited (Incorporated in Bermuda with limited liability), Hours: No"
Hi-Po Leaders Start-up Workshop - A0.2,N/A,N/A,"Provider: AIA International Limited (Incorporated in Bermuda with limited liability), Hours: No"
Agency Recruitment Training Program 2.0 *,N/A,N/A,"Provider: AIA International Limited (Incorporated in Bermuda with limited liability), Hours: No"
Financial Planner Core Training Program *,N/A,N/A,"Provider: AIA International Limited (Incorporated in Bermuda with limited liability), Hours: Yes"
Premier Academy Core Training Program *,N/A,N/A,"Provider: AIA International Limited (Incorporated in Bermuda with limited liability), Hours: Yes"
Executive Premier Academy Core Training Program *,N/A,N/A,"Provider: AIA International Limited (Incorporated in Bermuda with limited liability), Hours: Yes"
Effective Strategies for Enhancing Net Promotor Score (NPS) 高效提升客戶淨推薦值 (NPS),N/A,N/A,"Provider: AIA International Limited (Incorporated in Bermuda with limited liability), Hours: Yes"
HEALTHCARE 101 健康照護 101,N/A,N/A,"Provider: AIA International Limited (Incorporated in Bermuda with limited liability), Hours: nan"
Application of artificial intelligence in the insurance industry and guidance on ethical principles 人工智能在保險業的應用及道德標準指引,N/A,N/A,"Provider: AIA International Limited (Incorporated in Bermuda with limited liability), Hours: nan"
Pacesetter - The Management Skills Seminar for a New Generation *,N/A,N/A,"Provider: AIA International Limited (Incorporated in Bermuda with limited liability), Hours: Yes"
Experience Leaders Workshop *,N/A,N/A,"Provider: AIA International Limited (Incorporated in Bermuda with limited liability), Hours: Yes"
MPF Product and Selling Skills Training,N/A,N/A,"Provider: AIA International Limited (Incorporated in Bermuda with limited liability), Hours: Yes"
Professional Etiquette and Manners to Impress Your Mainland High Net-worth Customers 接待內地高端客戶的專業禮儀 *,N/A,N/A,"Provider: Vocational Training Council Institute of Professional Education And Knowledge, Hours: Yes"
Insurance Claims,N/A,N/A,"Provider: Vocational Training Council Institute of Professional Education And Knowledge, Hours: Yes"
Employee Benefits Series 僱員福利系列 *,N/A,N/A,"Provider: Vocational Training Council Institute of Professional Education And Knowledge, Hours: Yes"
Essential Technical Insurance Knowledge for Effective Service Quality Enhancement 優越服務必須掌握的保險知識 *,N/A,N/A,"Provider: Vocational Training Council Institute of Professional Education And Knowledge, Hours: Yes"
Enhancing Interpersonal Relationships – Enneagram 提升人際關係 – 九型人格 *,N/A,N/A,"Provider: Vocational Training Council Institute of Professional Education And Knowledge, Hours: Yes"
Health Management Series 健康管理與養生系列 *,N/A,N/A,"Provider: Vocational Training Council Institute of Professional Education And Knowledge, Hours: Yes"
Electronic Financial Service and Big Data 電子金融服務與大數據 *,N/A,N/A,"Provider: Vocational Training Council Institute of Professional Education And Knowledge, Hours: Yes"
"FinTech, Insurtech & Creative Business Management 金融科技（FinTech）、保險金融科技（Insurtech）與創意營商管理 *",N/A,N/A,"Provider: Vocational Training Council Institute of Professional Education And Knowledge, Hours: Yes"
How to Live a Healthy Life 如何活得健康 *,N/A,N/A,"Provider: Vocational Training Council Institute of Professional Education And Knowledge, Hours: Yes"
Open the Door to Selling Insurance to High-Net-Worth Customers 打開向高資產客戶銷售保險的大門 *,N/A,N/A,"Provider: Vocational Training Council Institute of Professional Education And Knowledge, Hours: Yes"
5G and the Finance Industry 5G與金融業 *,N/A,N/A,"Provider: Vocational Training Council Institute of Professional Education And Knowledge, Hours: Yes"
Technical Analysis – Basic Charting 圖表走勢理論 – 基本圖表分析 *,N/A,N/A,"Provider: Vocational Training Council Institute of Professional Education And Knowledge, Hours: Yes"
Advanced Technical Analysis – Japanese Candlesticks 進階圖表走勢理論 - 陰陽燭 *,N/A,N/A,"Provider: Vocational Training Council Institute of Professional Education And Knowledge, Hours: Yes"
Advanced Technical Analysis - Dow Theory 進階圖表走勢理論 - 道氏理論 *,N/A,N/A,"Provider: Vocational Training Council Institute of Professional Education And Knowledge, Hours: Yes"
Advanced Technical Analysis – Elliott Wave Theory 進階圖表走勢理論 – 波浪理論 *,N/A,N/A,"Provider: Vocational Training Council Institute of Professional Education And Knowledge, Hours: Yes"
Derivative Financial Instruments 金融衍生工具 *,N/A,N/A,"Provider: Vocational Training Council Institute of Professional Education And Knowledge, Hours: Yes"
Compliance Training Courses for Insurance Intermediaries 合規培訓課程（保險中介人） *,N/A,N/A,"Provider: Vocational Training Council Institute of Professional Education And Knowledge, Hours: Yes"
The New Solution of Sales Management (Insurance and Investment Professionals) 銷售管理新方向系列 (保險及投資專業人士) *,N/A,N/A,"Provider: Vocational Training Council Institute of Professional Education And Knowledge, Hours: Yes"
Business Ethics in the Finance Sector (eCPD) 商業道德操守(金融業) (eCPD) *,N/A,N/A,"Provider: Vocational Training Council Institute of Professional Education And Knowledge, Hours: nan"
Anti-Money Laundering and Counter-Terrorist Financing Ordinance and Relevant Regulatory Requirements 打擊洗錢及恐怖分子資金籌集條例和相關監管要求 *,N/A,N/A,"Provider: Vocational Training Council Institute of Professional Education And Knowledge, Hours: Yes"
Business Ethics 商業道德操守 *,N/A,N/A,"Provider: Vocational Training Council Institute of Professional Education And Knowledge, Hours: Yes"
Best Practices for Financial Products Intermediaries 金融產品中介人實務須知 *,N/A,N/A,"Provider: Vocational Training Council Institute of Professional Education And Knowledge, Hours: Yes"
Compliance Training Courses for Insurance Agents (eCPD) 合規培訓課程(保險代理人) (eCPD) *,N/A,N/A,"Provider: Vocational Training Council Institute of Professional Education And Knowledge, Hours: nan"
Stress Management (Financial Professionals) – Decoding Stress at Work Place (eCPD) 壓力管理新思維(金融專業人士)-職場壓力解碼 (eCPD),N/A,N/A,"Provider: Vocational Training Council Institute of Professional Education And Knowledge, Hours: nan"
Hedging Investing Series 對沖投資系列 *,N/A,N/A,"Provider: Vocational Training Council Institute of Professional Education And Knowledge, Hours: Yes"
AML/CFT Series 打擊洗錢及恐怖分子資金籌集系列 *,N/A,N/A,"Provider: Vocational Training Council Institute of Professional Education And Knowledge, Hours: Yes"
Greater Bay Area Series (eCPD) 粵港澳大灣區系列 (eCPD) *,N/A,N/A,"Provider: Vocational Training Council Institute of Professional Education And Knowledge, Hours: nan"
Make Good Use of Social Engineering in 4P Marketing (Insurance and Investment Professionals) 善用社交工程(Social Engineering) - 4P營銷術(保險及投資專才系列) *,N/A,N/A,"Provider: Vocational Training Council Institute of Professional Education And Knowledge, Hours: Yes"
Alternative Investment Series 另類投資系列 *,N/A,N/A,"Provider: Vocational Training Council Institute of Professional Education And Knowledge, Hours: Yes"
Accelerated Talent Management CDC Series (Banking and Finance) 飛躍專才管理CDC系列 (銀行及金融專業) *,N/A,N/A,"Provider: Vocational Training Council Institute of Professional Education And Knowledge, Hours: Yes"
Risk Management Series 風險管理系列 *,N/A,N/A,"Provider: Vocational Training Council Institute of Professional Education And Knowledge, Hours: Yes"
The New Solution of Sales Management (Insurance and Investment Professionals) - How to do Heart Selling with High Impact (eCPD) 銷售管理新方向 (保險及投資專業人士) – 打動人心的高效銷售方式 (eCPD),N/A,N/A,"Provider: Vocational Training Council Institute of Professional Education And Knowledge, Hours: nan"
Fund Series 101 基金透視鏡101系列 *,N/A,N/A,"Provider: Vocational Training Council Institute of Professional Education And Knowledge, Hours: Yes"
Smart Retiring 安心退休 *,N/A,N/A,"Provider: Vocational Training Council Institute of Professional Education And Knowledge, Hours: Yes"
Recent Evolutions in Mainland 內地近況 *,N/A,N/A,"Provider: Vocational Training Council Institute of Professional Education And Knowledge, Hours: Yes"
ESG Investing 環境、社會及管治投資 *,N/A,N/A,"Provider: Vocational Training Council Institute of Professional Education And Knowledge, Hours: Yes"
The Pursuit of Excellent Wealth Management Series 卓越財富管理系列 *,N/A,N/A,"Provider: Vocational Training Council Institute of Professional Education And Knowledge, Hours: Yes"
Business Skills Series (eCPD) 商業技巧系列 (eCPD) *,N/A,N/A,"Provider: Vocational Training Council Institute of Professional Education And Knowledge, Hours: nan"
Regulatory Requirements for Selling Financial Products Review and Updates 銷售金融產品的監管要求重温及新知 *,N/A,N/A,"Provider: Vocational Training Council Institute of Professional Education And Knowledge, Hours: Yes"
Trade Based Money Laundering *,N/A,N/A,"Provider: Vocational Training Council Institute of Professional Education And Knowledge, Hours: Yes"
"Risk and Opportunities of Blockchain, Cryptocommerce and Virtual Currencies 區塊鏈、加密商務和虛擬貨幣的風險和機遇 *",N/A,N/A,"Provider: Vocational Training Council Institute of Professional Education And Knowledge, Hours: Yes"
Digital Economy Series (eCPD) 數字經濟系列 (eCPD) *,N/A,N/A,"Provider: Vocational Training Council Institute of Professional Education And Knowledge, Hours: nan"
Passive Investment Index Investing Series 被動投資系列指數化投資 *,N/A,N/A,"Provider: Vocational Training Council Institute of Professional Education And Knowledge, Hours: Yes"
Open to Artificial Intelligence (AI) (Investment and Insurance Professionals) 機智過人 (投資和保險專業人士) *,N/A,N/A,"Provider: Vocational Training Council Institute of Professional Education And Knowledge, Hours: Yes"
Financial Investment Series (eCPD) 金融投資系列（eCPD） *,N/A,N/A,"Provider: Vocational Training Council Institute of Professional Education And Knowledge, Hours: nan"
Finnovation: Redefining Fintech 金融創新：重新定義金融科技 *,N/A,N/A,"Provider: Vocational Training Council Institute of Professional Education And Knowledge, Hours: Yes"
Estate Planning 遺產規劃 *,N/A,N/A,"Provider: Vocational Training Council Institute of Professional Education And Knowledge, Hours: Yes"
Regulatory Compliance Training 監管合規培訓 *,N/A,N/A,"Provider: Vocational Training Council Institute of Professional Education And Knowledge, Hours: Yes"
Investment Finlosophy - Technical Analysis 投資哲學 - 技術分析 *,N/A,N/A,"Provider: Vocational Training Council Institute of Professional Education And Knowledge, Hours: Yes"
Cybersecurity for Financial Industry Series (eCPD) 金融業網絡安全系列（eCPD） *,N/A,N/A,"Provider: Vocational Training Council Institute of Professional Education And Knowledge, Hours: nan"
Smart Personal Financial Planning 智型個人財務規劃 *,N/A,N/A,"Provider: Vocational Training Council Institute of Professional Education And Knowledge, Hours: Yes"
Compliance Training 2024 (eCPD) *,N/A,N/A,"Provider: Vocational Training Council Institute of Professional Education And Knowledge, Hours: nan"
Workplace Health Decoding Series (eCPD) 職場健康解碼系列 (eCPD) *,N/A,N/A,"Provider: Vocational Training Council Institute of Professional Education And Knowledge, Hours: nan"
